日期(年/月),單位,電力消費_總計(數值),電力消費_能源部門自用(數值),電力消費_工業部門_合計(數值),電力消費_工業部門_紡織成衣及服飾業(數值),電力消費_工業部門_紙漿紙及紙製品業(數值),電力消費_工業部門_化學材料製造業(數值),電力消費_工業部門_塑膠製品製造業(數值),電力消費_工業部門_非金屬礦物製品製造業(數值),電力消費_工業部門_金屬基本工業(數值),電力消費_工業部門_金屬製品製造業(數值),電力消費_工業部門_電腦通信及視聽電子產品製造業(數值),電力消費_工業部門_其他(數值),電力消費_運輸部門_合計(數值),電力消費_運輸部門_國內航空(數值),電力消費_運輸部門_公路(數值),電力消費_運輸部門_鐵路(數值),電力消費_運輸部門_管線運輸(數值),電力消費_運輸部門_國內水運(數值),電力消費_運輸部門_其他(數值),電力消費_農業部門(數值),電力消費_服務業部門_合計(數值),電力消費_服務業部門_批發及零售業(數值),電力消費_服務業部門_住宿及餐飲業(數值),電力消費_服務業部門_運輸服務業(數值),電力消費_服務業部門_倉儲業(數值),電力消費_服務業部門_通信業(數值),電力消費_服務業部門_金融保險及不動產業(數值),電力消費_服務業部門_工商服務業(數值),電力消費_服務業部門_社會服務及個人服務(數值),電力消費_服務業部門_公共行政業(數值),電力消費_服務業部門_其他(數值),電力消費_住宅部門(數值)
201010,百萬度,20872.591539,1515.981703,10429.619348,506.160151,251.119338,2440.269582,407.071008,412.42219,1344.267696,526.9712,2981.886962,1559.451221,96.966282,0,0.157153,93.327487,3.481642,0,0,222.971513,4124.3490784,491.944331,243.79044,112.62341,59.937668,118.56559,98.114791,100.137241,768.520185,457.8837184,1672.831704,4482.7036146
201011,百萬度,20117.434353,1570.961983,10560.418401,502.893853,290.411242,2292.141929,425.547668,439.312279,1470.059414,535.641082,3046.095922,1558.315012,101.744347,0,0.163462,97.788649,3.792236,0,0,220.147897,3895.166365,462.966883,220.995865,101.33502,57.948986,114.32975,91.017819,95.292279,666.870214,428.180988,1656.228561,3768.99536
201012,百萬度,19908.959825,1564.730332,11279.987813,535.556728,300.475949,2521.635189,439.88451,499.304316,1502.2234,555.436049,3288.356671,1637.115001,110.017991,0,0.170761,106.259044,3.588186,0,0,204.739148,3616.0509804,436.666143,202.487365,101.320254,56.391193,114.943558,85.734577,93.044022,651.662878,460.4370504,1413.36394,3133.4335606
201101,百萬度,18427.316407,1506.474888,10272.828153,462.172281,276.856831,2455.265504,408.627177,437.949567,1384.102733,513.185391,2872.549167,1462.119502,95.667249,0,0.1698,92.19422,3.303229,0,0,194.903059,3275.1257808,381.164583,174.705349,84.097822,49.115061,101.27452,72.937994,81.896068,530.832868,433.1318488,1365.969667,3082.3172772
201102,百萬度,16612.813627,1318.097775,9020.763091,385.16382,230.160499,2233.01199,313.601224,371.598905,1207.200347,407.970947,2616.918357,1255.137002,90.474996,0,0.173019,87.014977,3.287,0,0,186.123693,2853.6877186,347.249437,161.269758,78.857012,43.794752,93.630347,61.062922,71.746961,442.800383,409.9718366,1143.30431,3143.6663534
201103,百萬度,20137.487182,1635.031892,11601.554017,562.278109,307.527316,2451.472237,454.399726,512.941463,1581.648939,610.752868,3433.67007,1686.863289,109.679324,0,0.179831,105.942029,3.557464,0,0,199.741465,3363.3790808,412.609106,190.917193,101.291647,55.862083,116.104549,79.302595,89.934483,635.702261,424.4499818,1257.205182,3228.1014032
201104,百萬度,18576.256044,1490.59504,10376.725498,481.214386,278.467101,2326.985746,409.05546,452.320658,1402.070611,525.740395,3004.23831,1496.632831,98.085097,0,0.188224,94.535245,3.361628,0,0,209.024071,3218.4467816,399.266807,189.616689,91.712983,52.478274,107.087248,76.17122,86.11001,594.322338,405.1821326,1216.49908,3183.3795564
201105,百萬度,19989.707951,1745.320317,10924.156802,507.245572,285.1668,2158.454011,432.332727,501.706655,1416.851868,571.505856,3400.057379,1650.835934,104.88062,0,0.210227,101.348554,3.321839,0,0,222.834523,3787.8867138,451.912286,223.771671,110.464812,60.346685,118.631546,90.300559,98.38364,745.362792,446.0009798,1442.711743,3204.6289752
201106,百萬度,20955.579823,1644.043919,11142.493397,500.747989,286.97671,2242.096129,430.829038,500.900976,1382.153816,584.118251,3455.401871,1759.268617,112.047292,0,0.220916,108.502194,3.324182,0,0,247.329871,4176.2901692,515.969094,267.445204,122.055524,67.005482,131.297524,105.3697,112.448164,863.994896,468.3158312,1522.38875,3633.3751748
201107,百萬度,21425.150856,1673.616937,10930.218723,485.461455,286.906876,2397.920613,404.271203,475.821169,1339.252212,556.495361,3308.47626,1675.613574,101.989137,0,0.231604,98.550954,3.206579,0,0,245.668146,4269.508414,498.687706,264.510238,121.884023,65.138786,123.791812,104.876503,109.668946,742.588264,462.169808,1776.192328,4204.149499
