西元年,行業代碼,行業名稱,生產總額_當期_百萬元,中間消費_當期_百萬元,GDP_當期_百萬元,GDP_連鎖實質_百萬元,GDP_平減指數
2019,CD,成衣及服飾品製造業,167228.0,131006.0,36222.0,40842.0,88.69
2019,CE,皮革、毛皮及其製品製造業,50128.0,33848.0,16280.0,20859.0,78.05
2019,CF,木竹製品製造業,46603.0,34401.0,12202.0,12791.0,95.4
2019,CG,紙漿、紙及紙製品製造業,248616.0,184138.0,64478.0,74214.0,86.88
2019,CH,印刷及資料儲存媒體複製業,124757.0,78763.0,45994.0,44586.0,103.16
2019,CI,石油及煤製品製造業,1142371.0,969201.0,173170.0,159136.0,108.82
2019,CJ,化學材料及肥料製造業,1993035.0,1582805.0,410230.0,420956.0,97.45
2019,CK,其他化學製品製造業,338667.0,237873.0,100794.0,87667.0,114.97
2019,CL,藥品及醫用化學製品製造業,122908.0,70485.0,52423.0,53863.0,97.33
2019,CM,橡膠製品製造業,123906.0,76855.0,47051.0,46026.0,102.23
2019,CN,塑膠製品製造業,508977.0,356509.0,152468.0,150636.0,101.22
2019,CO,非金屬礦物製品製造業,394584.0,285372.0,109212.0,121924.0,89.57
2019,CP,基本金屬製造業,1705566.0,1417530.0,288036.0,407714.0,70.65
2019,CQ,金屬製品製造業,1106481.0,736873.0,369608.0,354747.0,104.19
2019,CR,電子零組件製造業,5082844.0,2796829.0,2286015.0,2428760.0,94.12
2019,CS,電腦、電子產品及光學製品製造業,1930567.0,1338592.0,591975.0,572863.0,103.34
2019,CT,電力設備及配備製造業,728316.0,545022.0,183294.0,183895.0,99.67
2019,CU,機械設備製造業,1021974.0,724658.0,297316.0,254935.0,116.62
2019,CV,汽車及其零件製造業,488370.0,344095.0,144275.0,133382.0,108.17
2019,CW,其他運輸工具及其零件製造業,449154.0,334579.0,114575.0,101866.0,112.48
2019,CX,家具製造業,92112.0,68626.0,23486.0,19572.0,120.0
2019,CY,其他製造業,525904.0,364855.0,161049.0,151424.0,106.36
2019,D,電力及燃氣供應業,751530.0,534557.0,216973.0,207662.0,104.48
2019,E,用水供應及污染整治業,233974.0,127077.0,106897.0,110958.0,96.34
2019,F,營建工程業,1709445.0,1216399.0,493046.0,571581.0,86.26
2019,G,批發及零售業,3830047.0,1054200.0,2775847.0,2888163.0,96.11
2019,GDP,GDP,,,18974097.0,19727465.0,96.18
2019,H,運輸及倉儲業,1395010.0,842641.0,552369.0,1085435.0,50.89
2019,I,住宿及餐飲業,1080748.0,565098.0,515650.0,509658.0,101.18
2019,ICT,ICT產業,7784847.0,4425159.0,3359688.0,3481018.0,96.51
2019,J,出版影音及資通訊業,1045699.0,451056.0,594643.0,580001.0,102.52
2019,K,金融及保險業,1828194.0,574118.0,1254076.0,1232266.0,101.77
2019,L,不動產及住宅服務業,2030139.0,464729.0,1565410.0,1587774.0,98.59
2019,M,專業、科學及技術服務業,760600.0,314489.0,446111.0,464219.0,96.1
2019,N,支援服務業,491028.0,154226.0,336802.0,341811.0,98.53
2019,O,公共行政及國防；強制性社會安全,1518016.0,414360.0,1103656.0,1154296.0,95.61
2019,P,教育業,909995.0,165220.0,744775.0,760948.0,97.87
2019,Q,醫療保健及社會工作服務業,939071.0,339720.0,599351.0,644566.0,92.99
2019,R,藝術、娛樂及休閒服務業,242742.0,87891.0,154851.0,157420.0,98.37
2019,S,其他服務業,664191.0,228657.0,435534.0,447720.0,97.28
2019,加值型營業稅,加值型營業稅,338141.0,,338141.0,341644.0,98.97
2019,合計,合計,39830740.0,21526669.0,18304071.0,19166769.0,95.5
2019,總計(生產面),總計(生產面),40378158.0,21526669.0,18851489.0,19690316.0,95.74
2019,進口稅,進口稅,209277.0,,209277.0,184442.0,113.46
2020,A,農、林、漁、牧業,605550.0,288541.0,317009.0,329380.0,96.24
2020,B,礦業及土石採取業,22489.0,9591.0,12898.0,11501.0,112.15
2020,C,製造業,19984044.0,13213315.0,6770729.0,6796648.0,99.62
2020,CA,食品及飼品製造業,845500.0,656510.0,188990.0,171733.0,110.05
