西元年,月,日,峰値負載_MW,備轉容量_MW,備轉容量率_pct
2019,3,10,2480.1,182.3,7.35
2019,3,11,2773.0,179.4,6.47
2019,3,12,2793.6,187.9,6.73
2019,3,13,2814.5,192.3,6.83
2019,3,14,2841.7,178.0,6.26
2019,3,15,2775.7,192.8,6.95
2019,3,16,2531.8,251.8,9.95
2019,3,17,2468.1,229.0,9.28
2019,3,18,2833.8,175.5,6.19
2019,3,19,2888.2,180.5,6.25
2019,3,20,2964.5,184.4,6.22
2019,3,21,3034.3,196.7,6.48
2019,3,22,2961.8,234.1,7.90
2019,3,23,2526.5,208.4,8.25
2019,3,24,2481.2,185.9,7.49
2019,3,25,2853.5,185.3,6.49
2019,3,26,2875.6,188.7,6.56
2019,3,27,2914.0,193.3,6.63
2019,3,28,3009.3,189.2,6.29
2019,3,29,2967.3,205.4,6.92
2019,3,30,2581.0,215.5,8.35
2019,3,31,2446.6,229.8,9.39
2019,4,1,2784.2,193.0,6.93
2019,4,2,2835.9,191.5,6.75
2019,4,3,2848.3,190.5,6.69
2019,4,4,2566.3,234.0,9.12
2019,4,5,2454.2,187.2,7.63
2019,4,6,2496.6,168.3,6.74
2019,4,7,2524.0,177.8,7.04
2019,4,8,3039.9,196.9,6.48
2019,4,9,3153.2,196.4,6.23
2019,4,10,3170.9,215.4,6.79
2019,4,11,3054.1,207.9,6.81
2019,4,12,2903.5,201.8,6.95
2019,4,13,2644.6,176.0,6.66
2019,4,14,2553.7,252.8,9.90
2019,4,15,2874.9,198.6,6.91
2019,4,16,2901.7,187.7,6.47
2019,4,17,2956.5,205.0,6.93
2019,4,18,3033.5,200.3,6.60
2019,4,19,3074.8,192.0,6.24
2019,4,20,2691.0,187.7,6.98
2019,4,21,2630.6,229.8,8.74
2019,4,22,3195.5,199.3,6.24
2019,4,23,3318.1,202.6,6.11
2019,4,24,3326.3,200.3,6.02
2019,4,25,3313.4,229.0,6.91
2019,4,26,3266.4,225.2,6.89
2019,4,27,2737.6,199.3,7.28
2019,4,28,2694.8,174.0,6.46
2019,4,29,3284.7,221.1,6.73
2019,4,30,3309.9,221.1,6.68
2019,5,1,2682.6,309.3,11.53
2019,5,2,2869.0,268.3,9.35
2019,5,3,2831.5,331.6,11.71
2019,5,4,2581.9,311.9,12.08
2019,5,5,2533.6,225.5,8.90
2019,5,6,2861.5,240.4,8.40
2019,5,7,2847.2,260.9,9.16
2019,5,8,2896.8,214.0,7.39
2019,5,9,2922.9,221.2,7.57
2019,5,10,2957.1,260.8,8.82
2019,5,11,2657.6,283.7,10.68
2019,5,12,2648.4,270.9,10.23
2019,5,13,3213.5,231.1,7.19
2019,5,14,3314.4,213.1,6.43
2019,5,15,3289.6,225.3,6.85
2019,5,16,3330.7,243.2,7.30
2019,5,17,3231.6,254.6,7.88
2019,5,18,2952.3,259.1,8.78
2019,5,19,2897.7,212.7,7.34
2019,5,20,3221.3,334.7,10.39
2019,5,21,2997.8,388.7,12.97
2019,5,22,3015.0,455.5,15.11
2019,5,23,3043.0,471.2,15.48
2019,5,24,3154.8,357.5,11.33
2019,5,25,2781.0,398.4,14.33
2019,5,26,2790.5,378.9,13.58
2019,5,27,3252.1,270.6,8.32
2019,5,28,3224.2,316.9,9.83
2019,5,29,3031.9,590.5,19.48
2019,5,30,3211.6,436.7,13.60
2019,5,31,3297.1,451.4,13.69
2019,6,1,2886.0,404.2,14.01
2019,6,2,2885.6,363.2,12.59
2019,6,3,3295.8,454.0,13.78
2019,6,4,3240.9,454.6,14.03
2019,6,5,3391.6,402.9,11.88
2019,6,6,3488.9,378.5,10.85
2019,6,7,3006.8,470.2,15.64
2019,6,8,2954.8,331.0,11.20
2019,6,9,2940.8,408.2,13.88
2019,6,10,3335.5,414.7,12.43
2019,6,11,3212.6,421.5,13.12
2019,6,12,3109.5,541.8,17.42
2019,6,13,3168.0,359.3,11.34
2019,6,14,3087.7,489.5,15.85
2019,6,15,2768.6,543.5,19.63
2019,6,16,2767.3,496.2,17.93
2019,6,17,3370.3,376.5,11.17
2019,6,18,3473.9,325.7,9.38
2019,6,19,3560.1,365.7,10.27
2019,6,20,3595.9,370.3,10.30
2019,6,21,3592.8,408.0,11.36
2019,6,22,3092.3,419.0,13.55
2019,6,23,2830.5,474.4,16.76
2019,6,24,3168.8,541.6,17.09
2019,6,25,3329.0,351.4,10.56
2019,6,26,3281.6,411.2,12.53
2019,6,27,3346.5,417.5,12.48
2019,6,28,3496.3,356.7,10.20
2019,6,29,3055.3,360.2,11.79
2019,6,30,3008.3,343.9,11.43
2019,7,1,3521.5,363.4,10.32
2019,7,2,3505.2,488.3,13.93
2019,7,3,3395.3,475.3,14.00
2019,7,4,3415.7,489.5,14.33
2019,7,5,3385.3,571.4,16.88
2019,7,6,3001.4,443.5,14.78
2019,7,7,2996.5,431.3,14.39
2019,7,8,3516.6,445.5,12.67
2019,7,9,3488.6,416.6,11.94
2019,7,10,3526.7,389.7,11.05
2019,7,11,3456.4,415.5,12.02
2019,7,12,3563.8,433.2,12.16
2019,7,13,3135.3,513.8,16.39
2019,7,14,3094.1,325.7,10.53
2019,7,15,3626.1,363.7,10.03
