日期(年/月),單位,電力消費_總計(數值),電力消費_能源部門自用(數值),電力消費_工業部門_合計(數值),電力消費_工業部門_紡織成衣及服飾品製造業(數值),電力消費_工業部門_紙漿紙及紙製品製造業(數值),電力消費_工業部門_化學材料及肥料製造業(數值),電力消費_工業部門_塑膠製品製造業(數值),電力消費_工業部門_非金屬礦物製品製造業(數值),電力消費_工業部門_基本金屬製造業(數值),電力消費_工業部門_金屬製品製造業(數值),電力消費_工業部門_電子產品及電力設備製造業(數值),電力消費_工業部門_其他(數值),電力消費_運輸部門_合計(數值),電力消費_運輸部門_國內航空(數值),電力消費_運輸部門_公路(數值),電力消費_運輸部門_鐵路(數值),電力消費_運輸部門_管線運輸(數值),電力消費_運輸部門_國內水運(數值),電力消費_運輸部門_其他(數值),電力消費_農業部門(數值),電力消費_服務業部門_合計(數值),電力消費_服務業部門_批發及零售業(數值),電力消費_服務業部門_運輸及倉儲業(數值),電力消費_服務業部門_住宿及餐飲業(數值),電力消費_服務業部門_出版影音及資通訊業(數值),電力消費_服務業部門_金融及保險業(數值),電力消費_服務業部門_不動產業(數值),電力消費_服務業部門_專業科學及技術服務業(數值),電力消費_服務業部門_支援服務業(數值),電力消費_服務業部門_公共行政及國防(數值),電力消費_服務業部門_教育業(數值),電力消費_服務業部門_醫療保險及社會工作服務業(數值),電力消費_服務業部門_藝術娛樂及休閒服務業(數值),電力消費_服務業部門_其他(數值),電力消費_住宅部門(數值)
202012,百萬度,21922.49725701,1537.14795035,13081.03032128,416.483212,320.658505,2716.897437,476.598131,504.096356,1643.088871,612.57310685,4741.52432683,1649.1103756,132.42216265,0,10.061074,119.529242,2.83184665,0,0,251.3857745,3709.11638273,927.45589591,253.069274,614.454955,292.48862758,123.288863,62.75054371,83.04660903,59.49283,361.00436337,253.16804915,254.20272975,113.638254,311.05538823,3211.3946655
202101,百萬度,21607.60069585,1491.36615846,12815.66489227,422.191286,309.073676,2780.085154,468.987976,501.908468,1650.089761,604.10200171,4494.0815195,1585.14505006,131.92562836,0,10.070719,119.246315,2.60859436,0,0,246.10056041,3396.38296373,843.27549034,235.478998,540.607994,290.2386547,108.763905,56.18914706,75.42941703,56.60941,350.92551563,210.54782646,233.93484738,103.231143,291.15061513,3526.16049262
202102,百萬度,19576.61861492,1356.334064,11265.25569135,343.827369,265.00449,2472.404184,387.435204,398.099431,1401.893979,487.14628733,4181.90288581,1327.54186121,124.26442992,0,9.923402,111.831045,2.50998292,0,0,232.80349743,2998.60547913,742.81286949,214.324469,484.274347,263.88266165,92.387194,48.0650076,62.93808536,50.165458,307.02183861,164.48910358,213.85610274,94.31828,260.0700621,3599.35545309
202103,百萬度,22567.34264019,1527.70722487,13330.91280847,436.028379,319.94815,2758.523585,506.372317,489.224781,1688.86223,628.89863412,4794.30930607,1708.74542628,136.42471232,0,10.509581,123.136125,2.77900632,0,0,264.06678372,3541.64490285,872.55476409,248.797623,560.037658,308.58270478,110.878503,57.05034983,78.4760365,56.024696,337.13583421,248.38316001,256.45186951,111.091282,296.18042192,3766.58620796
202104,百萬度,21861.49503867,1525.52173495,12939.85563345,425.513074,294.259822,2729.072831,477.386442,479.370734,1627.17593,617.17498654,4683.80886962,1606.09294429,135.41590172,0,10.6529,122.194639,2.56836272,0,0,254.99251006,3483.67005302,834.97038525,253.298793,552.103658,290.95468602,107.688758,55.06242204,74.78349903,55.320577,342.44418418,256.32821559,259.89341857,112.443411,288.37804534,3522.03920547
202105,百萬度,23563.70113518,1727.97416174,13950.76482271,467.724484,320.474421,2862.954952,504.238251,509.413105,1713.873561,657.72935513,5201.758801,1712.59789258,131.35217744,0,10.948228,117.739084,2.66486544,0,0,278.10206709,3915.74946116,929.99097646,293.911049,606.854645,319.64911925,128.6089,63.30629097,87.95379478,60.322486,376.16570872,299.72426734,311.9012635,115.415454,321.94550614,3559.75844504
202106,百萬度,24006.02288077,1662.60770482,13794.67880005,449.118007,313.970022,2857.189445,496.751621,484.66780342,1672.39582,661.91891352,5146.9906125,1711.67655561,107.00719095,0,10.600321,94.009968,2.39690195,0,0,294.83856047,3757.48262054,898.77508852,294.113504,545.71647,306.84193651,129.911875,58.91604021,84.91857733,59.914495,372.46047521,237.73342224,312.8402561,84.25268,371.08780042,4389.40800394
202107,百萬度,25657.64688916,1713.97953867,14431.7847416,470.703524,325.013282,2964.458405,519.14245,511.22519878,1689.032139,687.92325716,5440.00532794,1824.28115772,112.83232848,0,10.830215,99.562567,2.43954648,0,0,288.84926817,3957.07092659,989.07020438,318.532194,549.462324,331.17323108,144.629203,68.59072564,96.69990508,64.442122,396.92169667,239.50653837,339.49164579,79.448338,339.10279858,5153.13008565
202108,百萬度,25698.06916983,1670.84014882,14275.1612463,463.842047,320.004196,2932.736618,506.742204,489.19137508,1689.525539,686.14043242,5409.23884498,1777.73998982,128.066204,0,11.316928,114.282983,2.466293,0,0,294.48369436,4016.27687319,1005.33912531,318.975942,574.307486,331.52099516,143.562267,69.5230958,94.41400716,65.341189,402.08430304,244.62232886,336.63494046,89.954934,339.9962594,5313.24100316
202109,百萬度,25769.07777108,1626.23471403,13813.30101998,448.593236,308.329775,2740.043412,486.800497,476.04710593,1630.018177,671.90640376,5274.02760446,1777.53480883,130.79295705,0,11.925091,116.476534,2.39133205,0,0,304.03335741,4391.21061819,1089.94308044,319.070364,662.525763,345.38251829,152.340635,76.07672076,98.82945929,66.852058,404.38981935,314.4959374,335.09401646,102.948183,423.2620632,5503.50510442
