西元年,月,年月,原油及石油產品,地熱,天然氣,太陽光電,核能,水力,煤及煤產品,生質能及廢棄物,自產天然氣,進口液化天然氣,電力,風力,再生能源合計,化石燃料合計,再生能源佔比_%
2022,3,202203,4665905.4379258705,2174.1,1705662.09424009,745098.5432,1366950.27,568099.84532,2944820.634728,126355.2822747525,7019.451,2245234.452396919,0.0,224332.99948,1666060.7702747523,11568642.07029088,12.59
2022,4,202204,4284155.966361504,1993.271,1740635.399004697,891119.9065,1964504.56,564673.56007,3204321.45068,116577.194260946,7356.103,2291099.9684639783,0.0,237951.15077,1812315.0826009458,11527568.887510179,13.59
2022,5,202205,5505674.9321767865,2193.215,1684771.5224573177,840876.31501,2206278.27,775534.36265,3556983.041784,119874.0709472865,8431.427,2216403.8078658814,0.0,205326.49531,1943804.4589172867,12972264.731283987,13.03
2022,6,202206,4287642.568063076,1951.032,1595915.8708114221,943828.01297,2119959.9,818895.9864,3458509.822432,130413.438109317,8025.999,2099474.728137744,0.0,134154.39101,2029242.860489317,11449568.988444243,15.06
2022,7,202207,5395980.411068366,1242.538,1908772.5455509634,1139557.9979,2165968.24,440204.49154,3439091.033656,139607.866648778,8159.783,2512326.6196828275,0.0,102987.23935,1823600.133438778,13264330.392958157,12.09
2022,8,202208,4908625.091100289,2093.254,1790969.7442523714,1079527.39559,2179150.85,242916.67058,3607004.39944,136016.838519437,8312.482,2356691.1895242413,0.0,61445.53771,1521999.696399437,12671602.9063169,10.72
2022,9,202209,4500627.059375944,2047.389,1802035.633316399,1081448.5782,2113499.78,452679.153,3363247.341272,132484.468148497,8451.879,2371174.2546443134,0.0,245729.58771,1914389.1760584968,12045536.167608658,13.71
2022,10,202210,4777910.127121092,2265.536,1721585.0326674082,1074713.79826,2164710.74,467918.517,3340327.315216,119129.625010344,7953.327,2265422.6191209788,0.0,481799.25043,2145826.726700344,12113198.421125479,15.05
2022,11,202211,4264337.155452701,2269.419,1596918.6033935484,824617.27087,1856719.65,381610.39672,2481377.811592,121144.004830306,7737.452,2101054.821368373,0.0,341274.56394,1670915.655360306,10451425.843806623,13.78
2022,12,202212,3434887.5605384912,2746.166,1735043.7342230645,1043181.86933,1474972.44,289136.05438,2668068.3312,132611.58920775598,8763.642,2282467.825174445,0.0,720325.03522,2188000.7141377563,10129231.093136001,17.76
2023,1,202301,4834651.455534491,2503.616,1661816.9329055545,743877.19718,2146093.13,261801.378,2232293.319912,135676.167954917,7995.97,2186490.822546443,0.0,625746.2857,1769604.644834917,10923248.50089849,13.94
2023,2,202302,4242059.898100301,1907.877,1467968.6818595256,845762.23348,1977033.77,237614.506,2433001.112728,123738.324161208,7676.989,1930894.669832352,0.0,534718.93096,1743741.871601208,10081601.351520179,14.75
2023,3,202303,4228801.4526378075,2067.815,1800539.2047870336,967910.58747,1791578.66,243266.063,2772790.687208,128281.951934005,8685.514,2368991.2934299954,0.0,509617.71213,1851144.129534005,11179808.152062837,14.21
2023,4,202304,4241152.017387686,2079.642,1536821.77016716,1198984.34365,709377.03,176315.29593,2961211.402032,119741.176443638,8305.876,2021221.7357317624,0.0,378772.09921,1875892.557233638,10768712.801318608,14.84
2023,5,202305,5290244.485574837,2119.951,1728917.0772570898,1179123.34267,1190613.91,209366.64092,3029980.695528,134526.494246897,8244.466,2274842.127757136,0.0,380387.04938,1905523.4782168968,12332228.852117062,13.38
2023,6,202306,4587222.190398829,1090.186,1564238.3418330716,1256893.89412,1412712.61,303895.25915,3381870.780048,143279.896479298,7948.486,2057729.2903307653,0.0,223376.85487,1928536.0906192982,11599009.088610666,14.26
2023,7,202307,3871013.3172458396,1523.293,1739024.2686822917,1367210.87487,1454839.2,342263.69095,3099046.813264,142081.930614868,6125.409,2290067.226660625,0.0,268305.27646,2121385.065894868,11005277.034852756,16.16
2023,8,202308,4520406.64837709,1304.299,1840560.188316025,1140967.29505,1455539.46,610255.25205,3392312.208064,138100.92905573102,6829.543,2423468.7436882644,0.0,369135.18872,2259762.963875731,12183577.33144538,15.65
2023,9,202309,5036810.49146713,1735.044,1695476.3114494896,1361062.44189,1403975.11,718879.382,3124581.567432,132321.93397748,6999.394,2231807.0475577707,0.0,300354.33756,2514353.13942748,12095674.811906392,17.21
2023,10,202310,4134436.9526988445,2922.458,1642890.5305005957,1224650.78527,1382381.12,412991.508,2946821.637952,120247.81149689,7152.86,2162257.402483009,0.0,919551.78839,2680364.3511568904,10893559.383634448,19.75
2023,11,202311,3214719.7823687037,1807.157,1664193.574506277,1025826.08726,1414041.51,240780.954,2216199.322168,108646.667185357,6890.622,2190610.521014953,0.0,766014.73696,2143075.6024053567,9292613.822057934,18.74
2023,12,202312,3862942.2106244313,2103.016,1884861.3317967472,989315.91449,1463766.77,205592.236,2541190.09164,125898.860947315,8076.062,2480838.2361939284,0.0,962306.26865,2285216.296087315,10777907.932255108,17.49
2024,1,202401,4394009.6595090795,2459.327,1795446.3180618975,961635.05055,1464925.94,203526.515,2670661.6444904,166803.296436196,7374.748,2364972.4484639782,0.0,645330.30816,1979754.497146196,11232464.818525355,14.98
