period,民國年月,area_code,area_name,總人口,男性,女性,幼年_0_14,工作年齡_15_64,老年_65plus,男_0_14,女_0_14,男_15_64,女_15_64,男_65plus,女_65plus
2016-10,10510,63000000,臺北市,2696319,1290248,1406071,374910,1906117,415292,194633,180277,908191,997926,187424,227868
2016-10,10510,64000000,高雄市,2778375,1378994,1399381,344250,2064952,369173,178726,165524,1028986,1035966,171282,197891
2016-10,10510,65000000,新北市,3976313,1951464,2024849,508376,3009389,458548,264610,243766,1475298,1534091,211556,246992
2016-10,10510,66000000,臺中市,2762699,1364335,1398364,409101,2055474,298124,212368,196733,1013885,1041589,138082,160042
2016-10,10510,67000000,臺南市,1885603,943086,942517,236884,1391382,257337,123343,113541,701795,689587,117948,139389
2016-10,10510,68000000,桃園市,2140392,1068403,1071989,328582,1595522,216288,171410,157172,794984,800538,102009,114279
2016-11,10511,00000000,全國,23532065,11716952,11815113,3142695,17299527,3089843,1636639,1506056,8654632,8644895,1425681,1664162
2016-11,10511,09007000,連江縣,12608,7184,5424,1595,9736,1277,843,752,5666,4070,675,602
2016-11,10511,09020000,金門縣,134858,67454,67404,13611,105578,15669,7100,6511,52851,52727,7503,8166
2016-11,10511,10002000,宜蘭縣,457587,231752,225835,56938,333184,67465,29636,27302,170670,162514,31446,36019
2016-11,10511,10004000,新竹縣,546934,279780,267154,91577,391520,63837,47813,43764,201268,190252,30699,33138
2016-11,10511,10005000,苗栗縣,559557,288610,270947,76406,400607,82544,40146,36260,209231,191376,39233,43311
2016-11,10511,10007000,彰化縣,1287165,656779,630386,175521,929512,182132,91949,83572,481126,448386,83704,98428
2016-11,10511,10008000,南投縣,505371,259151,246220,58414,367126,79831,30341,28073,191512,175614,37298,42533
2016-11,10511,10009000,雲林縣,695195,361178,334017,84836,491891,118468,44315,40521,262965,228926,53898,64570
2016-11,10511,10010000,嘉義縣,515835,268363,247472,53145,370654,92036,27806,25339,198665,171989,41892,50144
2016-11,10511,10013000,屏東縣,836243,427989,408254,94080,615610,126553,49165,44915,319077,296533,59747,66806
2016-11,10511,10014000,臺東縣,220942,114294,106648,27380,160561,33001,14300,13080,84797,75764,15197,17804
2016-11,10511,10015000,花蓮縣,330930,168386,162544,41288,241170,48472,21604,19684,124228,116942,22554,25918
2016-11,10511,10016000,澎湖縣,103104,53079,50025,11459,76142,15503,5976,5483,39936,36206,7167,8336
2016-11,10511,10017000,基隆市,372062,186509,185553,40537,279900,51625,21123,19414,141832,138068,23554,28071
