西元年,月,民國年,科學園區,產業,核准廠商數,已入區廠商數
2017,1,民國106年1月,新竹科學園區,其他,9,5
2017,1,民國106年1月,新竹科學園區,生物技術,90,73
2017,1,民國106年1月,新竹科學園區,積體電路,189,186
2017,1,民國106年1月,新竹科學園區,精密機械,43,40
2017,1,民國106年1月,新竹科學園區,總計,530,488
2017,1,民國106年1月,新竹科學園區,通訊,46,45
2017,1,民國106年1月,新竹科學園區,電腦及周邊,58,51
2017,2,民國106年2月,中部科學園區,光電,38,31
2017,2,民國106年2月,中部科學園區,其他,16,15
2017,2,民國106年2月,中部科學園區,生物技術,41,27
2017,2,民國106年2月,中部科學園區,積體電路,8,7
2017,2,民國106年2月,中部科學園區,精密機械,69,44
2017,2,民國106年2月,中部科學園區,總計,189,137
2017,2,民國106年2月,中部科學園區,通訊,1,1
2017,2,民國106年2月,中部科學園區,電腦及周邊,16,12
2017,2,民國106年2月,南部科學園區,光電,55,52
2017,2,民國106年2月,南部科學園區,其他,7,5
2017,2,民國106年2月,南部科學園區,生物技術,65,58
2017,2,民國106年2月,南部科學園區,積體電路,18,14
2017,2,民國106年2月,南部科學園區,精密機械,52,48
2017,2,民國106年2月,南部科學園區,總計,211,188
2017,2,民國106年2月,南部科學園區,通訊,11,9
2017,2,民國106年2月,南部科學園區,電腦及周邊,3,2
2017,2,民國106年2月,彙總資料,光電,188,172
2017,2,民國106年2月,彙總資料,其他,32,25
2017,2,民國106年2月,彙總資料,生物技術,195,157
2017,2,民國106年2月,彙總資料,積體電路,214,207
2017,2,民國106年2月,彙總資料,精密機械,164,133
2017,2,民國106年2月,彙總資料,總計,928,814
2017,2,民國106年2月,彙總資料,通訊,58,55
2017,2,民國106年2月,彙總資料,電腦及周邊,77,65
2017,2,民國106年2月,新竹科學園區,光電,95,89
2017,2,民國106年2月,新竹科學園區,其他,9,5
2017,2,民國106年2月,新竹科學園區,生物技術,89,72
2017,2,民國106年2月,新竹科學園區,積體電路,188,186
2017,2,民國106年2月,新竹科學園區,精密機械,43,41
2017,2,民國106年2月,新竹科學園區,總計,528,489
2017,2,民國106年2月,新竹科學園區,通訊,46,45
2017,2,民國106年2月,新竹科學園區,電腦及周邊,58,51
2017,3,民國106年3月,中部科學園區,光電,37,31
2017,3,民國106年3月,中部科學園區,其他,16,15
2017,3,民國106年3月,中部科學園區,生物技術,41,28
2017,3,民國106年3月,中部科學園區,積體電路,8,7
2017,3,民國106年3月,中部科學園區,精密機械,68,44
2017,3,民國106年3月,中部科學園區,總計,187,138
2017,3,民國106年3月,中部科學園區,通訊,1,1
2017,3,民國106年3月,中部科學園區,電腦及周邊,16,12
2017,3,民國106年3月,南部科學園區,光電,52,50
2017,3,民國106年3月,南部科學園區,其他,7,5
2017,3,民國106年3月,南部科學園區,生物技術,65,57
2017,3,民國106年3月,南部科學園區,積體電路,18,15
2017,3,民國106年3月,南部科學園區,精密機械,52,48
2017,3,民國106年3月,南部科學園區,總計,208,187
2017,3,民國106年3月,南部科學園區,通訊,11,10
2017,3,民國106年3月,南部科學園區,電腦及周邊,3,2
2017,3,民國106年3月,彙總資料,光電,182,169
2017,3,民國106年3月,彙總資料,其他,32,25
2017,3,民國106年3月,彙總資料,生物技術,196,159
2017,3,民國106年3月,彙總資料,積體電路,213,207
2017,3,民國106年3月,彙總資料,精密機械,164,133
2017,3,民國106年3月,彙總資料,總計,923,815
2017,3,民國106年3月,彙總資料,通訊,59,57
2017,3,民國106年3月,彙總資料,電腦及周邊,77,65
2017,3,民國106年3月,新竹科學園區,光電,93,88
2017,3,民國106年3月,新竹科學園區,其他,9,5
2017,3,民國106年3月,新竹科學園區,生物技術,90,74
2017,3,民國106年3月,新竹科學園區,積體電路,187,185
2017,3,民國106年3月,新竹科學園區,精密機械,44,41
2017,3,民國106年3月,新竹科學園區,總計,528,490
2017,3,民國106年3月,新竹科學園區,通訊,47,46
2017,3,民國106年3月,新竹科學園區,電腦及周邊,58,51
2017,4,民國106年4月,中部科學園區,光電,37,31
2017,4,民國106年4月,中部科學園區,其他,16,15
2017,4,民國106年4月,中部科學園區,生物技術,41,29
2017,4,民國106年4月,中部科學園區,積體電路,8,7
2017,4,民國106年4月,中部科學園區,精密機械,68,43
2017,4,民國106年4月,中部科學園區,總計,186,138
2017,4,民國106年4月,中部科學園區,通訊,1,1
2017,4,民國106年4月,中部科學園區,電腦及周邊,15,12
2017,4,民國106年4月,南部科學園區,光電,52,50
2017,4,民國106年4月,南部科學園區,其他,7,5
2017,4,民國106年4月,南部科學園區,生物技術,66,59
2017,4,民國106年4月,南部科學園區,積體電路,18,15
2017,4,民國106年4月,南部科學園區,精密機械,52,48
2017,4,民國106年4月,南部科學園區,總計,209,189
2017,4,民國106年4月,南部科學園區,通訊,11,10
2017,4,民國106年4月,南部科學園區,電腦及周邊,3,2
2017,4,民國106年4月,彙總資料,光電,181,169
2017,4,民國106年4月,彙總資料,其他,32,25
2017,4,民國106年4月,彙總資料,生物技術,198,162
2017,4,民國106年4月,彙總資料,積體電路,213,207
2017,4,民國106年4月,彙總資料,精密機械,165,132
2017,4,民國106年4月,彙總資料,總計,924,817
2017,4,民國106年4月,彙總資料,通訊,59,57
2017,4,民國106年4月,彙總資料,電腦及周邊,76,65
2017,4,民國106年4月,新竹科學園區,光電,92,88
2017,4,民國106年4月,新竹科學園區,其他,9,5
2017,4,民國106年4月,新竹科學園區,生物技術,91,74
2017,4,民國106年4月,新竹科學園區,積體電路,187,185
2017,4,民國106年4月,新竹科學園區,精密機械,45,41
2017,4,民國106年4月,新竹科學園區,總計,529,490
2017,4,民國106年4月,新竹科學園區,通訊,47,46
2017,4,民國106年4月,新竹科學園區,電腦及周邊,58,51
2017,5,民國106年5月,中部科學園區,光電,37,31
2017,5,民國106年5月,中部科學園區,其他,16,15
2017,5,民國106年5月,中部科學園區,生物技術,41,30
2017,5,民國106年5月,中部科學園區,積體電路,8,7
2017,5,民國106年5月,中部科學園區,精密機械,68,43
2017,5,民國106年5月,中部科學園區,總計,186,139
2017,5,民國106年5月,中部科學園區,通訊,1,1
2017,5,民國106年5月,中部科學園區,電腦及周邊,15,12
2017,5,民國106年5月,南部科學園區,光電,52,50
2017,5,民國106年5月,南部科學園區,其他,7,6
2017,5,民國106年5月,南部科學園區,生物技術,66,60
2017,5,民國106年5月,南部科學園區,積體電路,17,15
2017,5,民國106年5月,南部科學園區,精密機械,52,48
2017,5,民國106年5月,南部科學園區,總計,208,191
2017,5,民國106年5月,南部科學園區,通訊,11,10
2017,5,民國106年5月,南部科學園區,電腦及周邊,3,2
2017,5,民國106年5月,彙總資料,光電,180,167
2017,5,民國106年5月,彙總資料,其他,32,26
2017,5,民國106年5月,彙總資料,生物技術,199,164
2017,5,民國106年5月,彙總資料,積體電路,212,207
2017,5,民國106年5月,彙總資料,精密機械,165,132
2017,5,民國106年5月,彙總資料,總計,923,817
2017,5,民國106年5月,彙總資料,通訊,59,56
2017,5,民國106年5月,彙總資料,電腦及周邊,76,65
2017,5,民國106年5月,新竹科學園區,光電,91,86
2017,5,民國106年5月,新竹科學園區,其他,9,5
2017,5,民國106年5月,新竹科學園區,生物技術,92,74
2017,5,民國106年5月,新竹科學園區,積體電路,187,185
2017,5,民國106年5月,新竹科學園區,精密機械,45,41
2017,5,民國106年5月,新竹科學園區,總計,529,487
2017,5,民國106年5月,新竹科學園區,通訊,47,45
2017,5,民國106年5月,新竹科學園區,電腦及周邊,58,51
2017,6,民國106年6月,中部科學園區,光電,37,32
