西元年,月,民國年月,園區別,子園區,負載_萬KW
2018,6,10706,新竹科學園區,新竹生醫園區,0.47
2018,6,10706,新竹科學園區,竹南園區,20.21
2018,6,10706,新竹科學園區,銅鑼園區,2.38
2018,6,10706,新竹科學園區,龍潭園區,16.14
2018,7,10707,中部科學園區,中興園區,0.05
2018,7,10707,中部科學園區,二林園區,0.07
2018,7,10707,中部科學園區,台中園區,71.96
2018,7,10707,中部科學園區,后里園區,22.22
2018,7,10707,中部科學園區,虎尾園區,1.9
2018,7,10707,南部科學園區,臺南園區,123.81
2018,7,10707,南部科學園區,高雄園區,18.04
2018,7,10707,新竹科學園區,宜蘭園區,0.01
2018,7,10707,新竹科學園區,新竹園區,133.71
2018,7,10707,新竹科學園區,新竹生醫園區,0.49
2018,7,10707,新竹科學園區,竹南園區,20.49
2018,7,10707,新竹科學園區,銅鑼園區,2.46
2018,7,10707,新竹科學園區,龍潭園區,15.91
2018,8,10708,中部科學園區,中興園區,0.05
2018,8,10708,中部科學園區,二林園區,0.07
2018,8,10708,中部科學園區,台中園區,71.73
2018,8,10708,中部科學園區,后里園區,22.52
2018,8,10708,中部科學園區,虎尾園區,1.91
2018,8,10708,南部科學園區,臺南園區,123.62
2018,8,10708,南部科學園區,高雄園區,18.03
2018,8,10708,新竹科學園區,宜蘭園區,0.01
2018,8,10708,新竹科學園區,新竹園區,135.76
2018,8,10708,新竹科學園區,新竹生醫園區,0.49
2018,8,10708,新竹科學園區,竹南園區,20.06
2018,8,10708,新竹科學園區,銅鑼園區,2.49
2018,8,10708,新竹科學園區,龍潭園區,16.9
2018,9,10709,中部科學園區,中興園區,0.05
2018,9,10709,中部科學園區,二林園區,0.07
2018,9,10709,中部科學園區,台中園區,72.07
2018,9,10709,中部科學園區,后里園區,22.44
2018,9,10709,中部科學園區,虎尾園區,1.91
2018,9,10709,南部科學園區,臺南園區,123.35
2018,9,10709,南部科學園區,高雄園區,17.02
2018,9,10709,新竹科學園區,宜蘭園區,0.05
2018,9,10709,新竹科學園區,新竹園區,135.69
2018,9,10709,新竹科學園區,新竹生醫園區,0.48
2018,9,10709,新竹科學園區,竹南園區,20.32
2018,9,10709,新竹科學園區,銅鑼園區,2.49
2018,9,10709,新竹科學園區,龍潭園區,16.32
2018,10,10710,中部科學園區,中興園區,0.04
2018,10,10710,中部科學園區,二林園區,0.06
2018,10,10710,中部科學園區,台中園區,70.18
2018,10,10710,中部科學園區,后里園區,22.02
2018,10,10710,中部科學園區,虎尾園區,1.91
2018,10,10710,南部科學園區,臺南園區,123.0
2018,10,10710,南部科學園區,高雄園區,16.91
2018,10,10710,新竹科學園區,宜蘭園區,0.04
2018,10,10710,新竹科學園區,新竹園區,128.13
2018,10,10710,新竹科學園區,新竹生醫園區,0.44
2018,10,10710,新竹科學園區,竹南園區,18.87
2018,10,10710,新竹科學園區,銅鑼園區,2.22
2018,10,10710,新竹科學園區,龍潭園區,15.94
2018,11,10711,中部科學園區,中興園區,0.04
2018,11,10711,中部科學園區,二林園區,0.06
2018,11,10711,中部科學園區,台中園區,69.49
2018,11,10711,中部科學園區,后里園區,22.17
2018,11,10711,中部科學園區,虎尾園區,1.93
2018,11,10711,南部科學園區,臺南園區,122.67
2018,11,10711,南部科學園區,高雄園區,16.96
2018,11,10711,新竹科學園區,宜蘭園區,0.05
2018,11,10711,新竹科學園區,新竹園區,131.15
2018,11,10711,新竹科學園區,新竹生醫園區,0.45
2018,11,10711,新竹科學園區,竹南園區,18.24
2018,11,10711,新竹科學園區,銅鑼園區,1.99
2018,11,10711,新竹科學園區,龍潭園區,15.87
2018,12,10712,中部科學園區,中興園區,0.03
2018,12,10712,中部科學園區,二林園區,0.05
2018,12,10712,中部科學園區,台中園區,68.84
2018,12,10712,中部科學園區,后里園區,21.64
2018,12,10712,中部科學園區,虎尾園區,1.87
2018,12,10712,南部科學園區,臺南園區,122.67
2018,12,10712,南部科學園區,高雄園區,16.97
2018,12,10712,新竹科學園區,宜蘭園區,0.04
2018,12,10712,新竹科學園區,新竹園區,130.95
2018,12,10712,新竹科學園區,新竹生醫園區,0.42
2018,12,10712,新竹科學園區,竹南園區,17.78
2018,12,10712,新竹科學園區,銅鑼園區,2.39
2018,12,10712,新竹科學園區,龍潭園區,15.41
2019,1,10801,中部科學園區,中興園區,0.2
2019,1,10801,中部科學園區,二林園區,0.05
2019,1,10801,中部科學園區,台中園區,97.6
2019,1,10801,中部科學園區,后里園區,22.44
2019,1,10801,中部科學園區,虎尾園區,2.05
2019,1,10801,南部科學園區,臺南園區,122.58
2019,1,10801,南部科學園區,高雄園區,17.02
2019,1,10801,新竹科學園區,宜蘭園區,0.04
2019,1,10801,新竹科學園區,新竹園區,131.09
2019,1,10801,新竹科學園區,新竹生醫園區,0.41
2019,1,10801,新竹科學園區,竹南園區,17.34
2019,1,10801,新竹科學園區,銅鑼園區,2.4
2019,1,10801,新竹科學園區,龍潭園區,15.45
2019,2,10802,中部科學園區,中興園區,0.21
2019,2,10802,中部科學園區,二林園區,0.04
2019,2,10802,中部科學園區,台中園區,95.82
2019,2,10802,中部科學園區,后里園區,22.5
2019,2,10802,中部科學園區,虎尾園區,2.0
2019,2,10802,南部科學園區,臺南園區,123.22
2019,2,10802,南部科學園區,高雄園區,16.91
2019,2,10802,新竹科學園區,宜蘭園區,0.04
2019,2,10802,新竹科學園區,新竹園區,125.2
2019,2,10802,新竹科學園區,新竹生醫園區,0.4
2019,2,10802,新竹科學園區,竹南園區,17.12
2019,2,10802,新竹科學園區,銅鑼園區,2.34
2019,2,10802,新竹科學園區,龍潭園區,15.49
2019,3,10803,中部科學園區,中興園區,0.23
2019,3,10803,中部科學園區,二林園區,0.05
2019,3,10803,中部科學園區,台中園區,96.69
2019,3,10803,中部科學園區,后里園區,22.83
2019,3,10803,中部科學園區,虎尾園區,2.03
2019,3,10803,南部科學園區,臺南園區,122.23
2019,3,10803,南部科學園區,高雄園區,16.89
2019,3,10803,新竹科學園區,宜蘭園區,0.04
2019,3,10803,新竹科學園區,新竹園區,131.09
2019,3,10803,新竹科學園區,新竹生醫園區,0.41
2019,3,10803,新竹科學園區,竹南園區,17.71
2019,3,10803,新竹科學園區,銅鑼園區,2.31
2019,3,10803,新竹科學園區,龍潭園區,15.82
2019,4,10804,中部科學園區,中興園區,0.24
2019,4,10804,中部科學園區,二林園區,0.05
2019,4,10804,中部科學園區,台中園區,99.17
2019,4,10804,中部科學園區,后里園區,24.12
2019,4,10804,中部科學園區,虎尾園區,2.08
2019,4,10804,南部科學園區,臺南園區,122.23
2019,4,10804,南部科學園區,高雄園區,16.89
2019,4,10804,新竹科學園區,宜蘭園區,0.05
2019,4,10804,新竹科學園區,新竹園區,132.56
2019,4,10804,新竹科學園區,新竹生醫園區,0.45
2019,4,10804,新竹科學園區,竹南園區,18.67
2019,4,10804,新竹科學園區,銅鑼園區,2.43
2019,4,10804,新竹科學園區,龍潭園區,16.67
2019,5,10805,中部科學園區,中興園區,0.26
2019,5,10805,中部科學園區,二林園區,0.06
2019,5,10805,中部科學園區,台中園區,99.79
2019,5,10805,中部科學園區,后里園區,25.1
2019,5,10805,中部科學園區,虎尾園區,2.14
2019,5,10805,南部科學園區,臺南園區,122.01
2019,5,10805,南部科學園區,高雄園區,17.01
2019,5,10805,新竹科學園區,宜蘭園區,0.05
2019,5,10805,新竹科學園區,新竹園區,133.99
2019,5,10805,新竹科學園區,新竹生醫園區,0.47
2019,5,10805,新竹科學園區,竹南園區,20.19
2019,5,10805,新竹科學園區,銅鑼園區,2.63
2019,5,10805,新竹科學園區,龍潭園區,16.21
2019,6,10806,中部科學園區,中興園區,0.27
2019,6,10806,中部科學園區,二林園區,0.06
2019,6,10806,中部科學園區,台中園區,100.59
