西元年,行業代碼,行業名稱,生產總額_百萬元,中間消費_百萬元,GDP_百萬元,生產及進口稅淨額_百萬元,固定資本消耗_百萬元,受僱人員報酬_百萬元,營業盈餘_百萬元
2017,CA,食品及飼品製造業,740078.0,597032.0,143046.0,4009.0,12170.0,75835.0,51032.0
2017,CB,飲料及菸草製造業,158405.0,55242.0,103163.0,70831.0,4246.0,18257.0,9829.0
2017,CC,紡織業,390096.0,285631.0,104465.0,956.0,9248.0,69986.0,24275.0
2017,CD,成衣及服飾品製造業,152340.0,117751.0,34589.0,225.0,1429.0,25339.0,7596.0
2017,CE,皮革、毛皮及其製品製造業,53616.0,36149.0,17467.0,128.0,2262.0,11724.0,3353.0
2017,CF,木竹製品製造業,49833.0,37406.0,12427.0,148.0,1220.0,9389.0,1670.0
2017,CG,紙漿、紙及紙製品製造業,237349.0,180966.0,56383.0,509.0,5428.0,32647.0,17799.0
2017,CH,印刷及資料儲存媒體複製業,122852.0,78588.0,44264.0,246.0,4866.0,32888.0,6264.0
2017,CI,石油及煤製品製造業,915639.0,714713.0,200926.0,94832.0,27943.0,26039.0,52112.0
2017,CJ,化學材料及肥料製造業,2156314.0,1704899.0,451415.0,2745.0,56949.0,95535.0,296186.0
2017,CK,其他化學製品製造業,321784.0,231157.0,90627.0,848.0,9218.0,44703.0,35858.0
2017,CL,藥品及醫用化學製品製造業,107004.0,64612.0,42392.0,294.0,8529.0,23384.0,10185.0
2017,CM,橡膠製品製造業,120066.0,74604.0,45462.0,1601.0,4442.0,27765.0,11654.0
2017,CN,塑膠製品製造業,481164.0,342629.0,138535.0,1679.0,12025.0,80017.0,44814.0
2017,CO,非金屬礦物製品製造業,376797.0,263770.0,113027.0,6998.0,20634.0,65223.0,20172.0
2017,CP,基本金屬製造業,1740096.0,1434019.0,306077.0,4093.0,34833.0,98728.0,168423.0
2017,CQ,金屬製品製造業,1090817.0,727940.0,362877.0,4881.0,32692.0,221140.0,104164.0
2017,CR,電子零組件製造業,5040313.0,2790880.0,2249433.0,5707.0,806837.0,613828.0,823061.0
2017,CS,電腦、電子產品及光學製品製造業,2308163.0,1714213.0,593950.0,4170.0,139261.0,242851.0,207668.0
2017,CT,電力設備及配備製造業,665791.0,500380.0,165411.0,5052.0,24939.0,90271.0,45149.0
2017,CU,機械設備製造業,1070430.0,785088.0,285342.0,4031.0,24494.0,159551.0,97266.0
2017,CV,汽車及其零件製造業,507413.0,359966.0,147447.0,28787.0,22845.0,62480.0,33335.0
2017,CW,其他運輸工具及其零件製造業,384530.0,291674.0,92856.0,7958.0,13432.0,56652.0,14814.0
2017,CX,家具製造業,86276.0,65557.0,20719.0,199.0,1740.0,14184.0,4596.0
2017,CY,其他製造業,432571.0,303177.0,129394.0,756.0,11811.0,87329.0,29498.0
2017,D,電力及燃氣供應業,712622.0,472034.0,240588.0,6585.0,116032.0,45807.0,72164.0
2017,E,用水供應及污染整治業,223035.0,118321.0,104714.0,378.0,16984.0,29770.0,57582.0
2017,F,營建工程業,1501633.0,1087186.0,414447.0,6523.0,21748.0,309209.0,76967.0
2017,G,批發及零售業,3782253.0,1059919.0,2722334.0,59469.0,148489.0,1183827.0,1330549.0
2017,H,運輸及倉儲業,1280803.0,738501.0,542302.0,7125.0,114784.0,254736.0,165657.0
2017,I,住宿及餐飲業,973375.0,522021.0,451354.0,5970.0,34242.0,288236.0,122906.0
2017,ICT,ICT產業,8107626.0,4813985.0,3293641.0,20905.0,1054485.0,1057006.0,1161245.0
2017,J,出版影音及資通訊業,1028094.0,473386.0,554708.0,10844.0,113636.0,259649.0,170579.0
2017,K,金融及保險業,1690476.0,518720.0,1171756.0,57148.0,109747.0,599565.0,405296.0
2017,L,不動產及住宅服務業,1851946.0,410759.0,1441187.0,62702.0,199270.0,71840.0,1107375.0
2017,M,專業、科學及技術服務業,689458.0,285013.0,404445.0,3885.0,66406.0,227391.0,106763.0
2017,N,支援服務業,450555.0,145037.0,305518.0,3930.0,42208.0,217781.0,41599.0
2017,O,公共行政及國防；強制性社會安全,1444005.0,391023.0,1052982.0,6783.0,332862.0,713337.0,0.0
2017,P,教育業,894580.0,159052.0,735528.0,-12733.0,59444.0,665251.0,23566.0
2017,Q,醫療保健及社會工作服務業,839257.0,305126.0,534131.0,-7145.0,50951.0,397411.0,92914.0
2017,R,藝術、娛樂及休閒服務業,231264.0,85921.0,145343.0,5458.0,12282.0,101206.0,26397.0
2017,S,其他服務業,647403.0,217265.0,430138.0,11848.0,10217.0,322712.0,85361.0
2017,加值型營業稅,加值型營業稅,318310.0,0.0,318310.0,318310.0,0.0,0.0,0.0
2017,合計,合計,38608587.0,21065130.0,17543457.0,467292.0,2767768.0,8040906.0,6267491.0
2017,總計(生產面),總計(生產面),39118249.0,21065130.0,18053119.0,976954.0,2767768.0,8040906.0,6267491.0
2017,進口稅,進口稅,191352.0,0.0,191352.0,191352.0,0.0,0.0,0.0
2018,A,農、林、漁、牧業,622429.0,308114.0,314315.0,-14186.0,22725.0,63770.0,242006.0
2018,B,礦業及土石採取業,18971.0,7804.0,11167.0,488.0,3288.0,3652.0,3739.0
2018,C,製造業,20463140.0,14374427.0,6088713.0,273416.0,1355495.0,2443775.0,2016027.0
2018,CA,食品及飼品製造業,775703.0,622393.0,153310.0,4316.0,12916.0,83143.0,52935.0
