西元年,月,民國年,科學園區,產業,營業額
2017,5,民國106年5月,總　　計,電腦及周邊,36.68
2017,6,民國106年6月,中部科學園區,光電,147.35
2017,6,民國106年6月,中部科學園區,其他,1.44
2017,6,民國106年6月,中部科學園區,生物技術,3.31
2017,6,民國106年6月,中部科學園區,積體電路,298.57
2017,6,民國106年6月,中部科學園區,精密機械,22.96
2017,6,民國106年6月,中部科學園區,總計,476.36
2017,6,民國106年6月,中部科學園區,通訊,0.07
2017,6,民國106年6月,中部科學園區,電腦及周邊,2.66
2017,6,民國106年6月,南部科學園區,光電,233.78
2017,6,民國106年6月,南部科學園區,其他,2.26
2017,6,民國106年6月,南部科學園區,生物技術,6.81
2017,6,民國106年6月,南部科學園區,積體電路,415.34
2017,6,民國106年6月,南部科學園區,精密機械,37.33
2017,6,民國106年6月,南部科學園區,總計,701.14
2017,6,民國106年6月,南部科學園區,通訊,4.22
2017,6,民國106年6月,南部科學園區,電腦及周邊,1.41
2017,6,民國106年6月,新竹科學園區,光電,114.67
2017,6,民國106年6月,新竹科學園區,其他,5.23
2017,6,民國106年6月,新竹科學園區,生物技術,9.29
2017,6,民國106年6月,新竹科學園區,積體電路,610.28
2017,6,民國106年6月,新竹科學園區,精密機械,36.11
2017,6,民國106年6月,新竹科學園區,總計,843.04
2017,6,民國106年6月,新竹科學園區,通訊,34.77
2017,6,民國106年6月,新竹科學園區,電腦及周邊,32.69
2017,6,民國106年6月,總　　計,光電,495.79
2017,6,民國106年6月,總　　計,其他,8.93
2017,6,民國106年6月,總　　計,生物技術,19.41
2017,6,民國106年6月,總　　計,積體電路,1324.19
2017,6,民國106年6月,總　　計,精密機械,96.39
2017,6,民國106年6月,總　　計,總計,2020.54
2017,6,民國106年6月,總　　計,通訊,39.06
2017,6,民國106年6月,總　　計,電腦及周邊,36.76
2017,7,民國106年7月,中部科學園區,光電,152.16
2017,7,民國106年7月,中部科學園區,其他,1.36
2017,7,民國106年7月,中部科學園區,生物技術,3.42
2017,7,民國106年7月,中部科學園區,積體電路,250.02
2017,7,民國106年7月,中部科學園區,精密機械,20.98
2017,7,民國106年7月,中部科學園區,總計,430.48
2017,7,民國106年7月,中部科學園區,通訊,0.05
2017,7,民國106年7月,中部科學園區,電腦及周邊,2.49
2017,7,民國106年7月,南部科學園區,光電,227.94
2017,7,民國106年7月,南部科學園區,其他,2.02
2017,7,民國106年7月,南部科學園區,生物技術,8.48
2017,7,民國106年7月,南部科學園區,積體電路,509.38
2017,7,民國106年7月,南部科學園區,精密機械,31.71
2017,7,民國106年7月,南部科學園區,總計,785.61
2017,7,民國106年7月,南部科學園區,通訊,4.56
2017,7,民國106年7月,南部科學園區,電腦及周邊,1.53
2017,7,民國106年7月,新竹科學園區,光電,123.65
2017,7,民國106年7月,新竹科學園區,其他,5.8
2017,7,民國106年7月,新竹科學園區,生物技術,8.25
2017,7,民國106年7月,新竹科學園區,積體電路,596.34
2017,7,民國106年7月,新竹科學園區,精密機械,39.61
2017,7,民國106年7月,新竹科學園區,總計,832.37
2017,7,民國106年7月,新竹科學園區,通訊,29.18
2017,7,民國106年7月,新竹科學園區,電腦及周邊,29.54
2017,7,民國106年7月,總　　計,光電,503.74
2017,7,民國106年7月,總　　計,其他,9.18
2017,7,民國106年7月,總　　計,生物技術,20.15
2017,7,民國106年7月,總　　計,積體電路,1355.75
