YearMonth,District,PowerUsage_100M_kWh,StationName,MeanTemp,SunshineHrs
202205,西屯區,6.1691,Taichung,24.6,95
202206,安定,4.4235,Tainan,29.2,225.4
202206,寶山,1.3503,Hsinchu,27.8,159.1
202206,新市,5.7465,Tainan,29.2,225.4
202206,新竹市,9.0403,Hsinchu,27.8,159.1
202206,西屯區,6.0097,Taichung,28,143.8
202207,安定,4.5738,Tainan,29.9,224.2
202207,寶山,1.4375,Hsinchu,30.1,269.7
202207,新市,5.932,Tainan,29.9,224.2
202207,新竹市,9.5244,Hsinchu,30.1,269.7
202207,西屯區,6.2911,Taichung,29.4,189
202208,安定,4.8879,Tainan,29.4,213.6
202208,寶山,1.457,Hsinchu,29.7,215.1
202208,新市,5.5987,Tainan,29.4,213.6
202208,新竹市,9.5042,Hsinchu,29.7,215.1
202208,西屯區,6.1438,Taichung,28.9,197.2
202209,安定,4.8385,Tainan,28.7,191.7
202209,寶山,1.3298,Hsinchu,27.3,187.1
202209,新市,5.055,Tainan,28.7,191.7
202209,新竹市,8.8915,Hsinchu,27.3,187.1
202209,西屯區,5.6997,Taichung,27.9,210.2
202210,安定,4.8526,Tainan,26.5,197.5
202210,寶山,1.2582,Hsinchu,24.5,162
202210,新市,5.1494,Tainan,26.5,197.5
202210,新竹市,8.882,Hsinchu,24.5,162
202210,西屯區,5.7839,Taichung,25.7,188.3
202211,安定,4.4324,Tainan,25.1,186.3
202211,寶山,1.0907,Hsinchu,23.5,143.7
202211,新市,5.1255,Tainan,25.1,186.3
202211,新竹市,8.5082,Hsinchu,23.5,143.7
202211,西屯區,5.5906,Taichung,24.6,184.9
202212,安定,4.7502,Tainan,18.6,215
202212,寶山,1.1686,Hsinchu,16.4,106.9
202212,新市,5.1058,Tainan,18.6,215
202212,新竹市,8.2508,Hsinchu,16.4,106.9
202212,西屯區,5.4619,Taichung,17.8,208.5
202301,安定,3.8796,Tainan,18,209.8
202301,寶山,1.2965,Hsinchu,16.3,91.1
202301,新市,4.9484,Tainan,18,209.8
202301,新竹市,8.2404,Hsinchu,16.3,91.1
202301,西屯區,5.242,Taichung,17.5,186.5
202302,安定,3.6874,Tainan,18.9,195.7
202302,寶山,0.6007,Hsinchu,16.3,87
202302,新市,4.6067,Tainan,18.9,195.7
202302,新竹市,7.2479,Hsinchu,16.3,87
202302,西屯區,4.8511,Taichung,18.3,174.3
202303,安定,4.4034,Tainan,21.6,274.6
202303,寶山,0.9389,Hsinchu,19.3,161.9
202303,新市,5.3335,Tainan,21.6,274.6
202303,新竹市,8.2609,Hsinchu,19.3,161.9
202303,西屯區,5.5055,Taichung,20.8,222.7
202304,安定,4.7022,Tainan,25.3,221.7
202304,寶山,1.3342,Hsinchu,22.1,113.6
202304,新市,5.2063,Tainan,25.3,221.7
202304,新竹市,8.2705,Hsinchu,22.1,113.6
202304,西屯區,5.521,Taichung,23.9,150.5
202305,安定,5.379,Tainan,27.4,190.7
202305,寶山,1.3333,Hsinchu,25.4,150.3
202305,新市,5.6203,Tainan,27.4,190.7
202305,新竹市,8.821,Hsinchu,25.4,150.3
202305,西屯區,5.9678,Taichung,26.4,145.4
202306,安定,5.3851,Tainan,29.4,208.6
202306,寶山,1.3556,Hsinchu,28.7,171.2
202306,新市,5.5879,Tainan,29.4,208.6
202306,新竹市,8.9167,Hsinchu,28.7,171.2
202306,西屯區,6.0057,Taichung,28.7,151.8
202307,安定,5.9633,Tainan,29.8,221.6
202307,寶山,1.4982,Hsinchu,30.1,223.9
202307,新市,5.8341,Tainan,29.8,221.6
202307,新竹市,9.1638,Hsinchu,30.1,223.9
202307,西屯區,6.2611,Taichung,29.3,189.5
202308,安定,5.9938,Tainan,29,151
202308,寶山,1.4928,Hsinchu,29.5,215.3
202308,新市,5.867,Tainan,29,151
202308,新竹市,9.1937,Hsinchu,29.5,215.3
202308,西屯區,6.2585,Taichung,28.8,154.4
202309,安定,5.7374,Tainan,28.7,177.3
202309,寶山,1.408,Hsinchu,28.7,194
202309,新市,5.613,Tainan,28.7,177.3
202309,新竹市,8.7357,Hsinchu,28.7,194
202309,西屯區,5.9934,Taichung,28.2,143
202310,安定,6.0502,Tainan,27.1,186
202310,寶山,1.4468,Hsinchu,25.3,149.4
202310,新市,5.6397,Tainan,27.1,186
202310,新竹市,8.6746,Hsinchu,25.3,149.4
202310,西屯區,5.9572,Taichung,26.4,168.5
202311,安定,5.4879,Tainan,24.1,246.2
202311,寶山,1.3645,Hsinchu,21.9,192
202311,新市,5.2897,Tainan,24.1,246.2
202311,新竹市,8.167,Hsinchu,21.9,192
202311,西屯區,5.529,Taichung,23.1,232.9
202312,安定,5.3659,Tainan,20.7,153.9
202312,寶山,1.3988,Hsinchu,18.4,98.9
202312,新市,5.2547,Tainan,20.7,153.9
202312,新竹市,8.1561,Hsinchu,18.4,98.9
202312,西屯區,5.6082,Taichung,19.9,160.3
202401,安定,5.2309,Tainan,18.5,233.3
202401,寶山,1.2129,Hsinchu,16.2,125
202401,新市,4.9258,Tainan,18.5,233.3
202401,新竹市,8.0089,Hsinchu,16.2,125
202401,西屯區,5.6031,Taichung,17.5,206.5
202402,安定,4.8469,Tainan,20.8,220.9
202402,寶山,1.1932,Hsinchu,17.2,107.6
202402,新市,4.5248,Tainan,20.8,220.9
202402,新竹市,7.3722,Hsinchu,17.2,107.6
202402,西屯區,5.2069,Taichung,19.3,184.7
202403,安定,5.3933,Tainan,22.4,215.5
