,"國內生產及要素所得",
,,,,,,,,"單位：新臺幣百萬元"
"統計期","行業","生產總額","中間消費","國內生產毛額","生產及進口稅淨額","固定資本消耗","受僱人員報酬","營業盈餘"
"109年","　CN.塑膠製品製造業",504655,346254,158401,1160,13090,87832,56319
"109年","　CO.非金屬礦物製品製造業",404642,287080,117562,6827,20236,70123,20376
"109年","　CP.基本金屬製造業",1601792,1314374,287418,899,34429,94335,157755
"109年","　CQ.金屬製品製造業",1087034,717926,369108,994,35883,243821,88410
"109年","　CR.電子零組件製造業",5909664,3081700,2827964,5838,968013,761124,1092989
"109年","　CS.電腦、電子產品及光學製品製造業",2120580,1388337,732243,1640,162818,283524,284261
"109年","　CT.電力設備及配備製造業",762849,562510,200339,5032,28848,104605,61854
"109年","　CU.機械設備製造業",986743,696914,289829,-309,27889,173785,88464
"109年","　CV.汽車及其零件製造業",469113,328420,140693,25733,24800,62770,27390
"109年","　CW.其他運輸工具及其零件製造業",465310,349260,116050,6596,14633,64732,30089
"109年","　CX.家具製造業",96218,71989,24229,77,1933,16510,5709
"109年","　CY.其他製造業",526294,362915,163379,-998,14645,105293,44439
"109年","D.電力及燃氣供應業",717059,427858,289201,-22657,127073,47170,137615
"109年","E.用水供應及污染整治業",242631,132794,109837,89,19125,34488,56135
"109年","F.營建工程業",1856956,1298508,558448,2784,23641,359953,172070
"109年","G.批發及零售業",3872183,1073334,2798849,49450,165639,1310105,1273655
"109年","H.運輸及倉儲業",1248825,713145,535680,-9353,127915,271880,145238
"109年","I.住宿及餐飲業",999438,530130,469308,-4663,39364,288711,145896
"109年","J.出版影音及資通訊業",1071594,458050,613544,10213,122317,324028,156986
"109年","K.金融及保險業",1895009,595241,1299768,63971,129950,669452,436395
"109年","L.不動產及住宅服務業",2145227,503463,1641764,63769,236404,93779,1247812
"109年","M.專業、科學及技術服務業",778808,319887,458921,792,76215,277931,103983
"109年","N.支援服務業",462867,140964,321903,-3116,49002,245702,30315
"109年","O.公共行政及國防；強制性社會安全",1571923,432288,1139635,6988,367200,765447,0
"109年","P.教育業",909730,161822,747908,-16022,63273,684295,16362
"109年","Q.醫療保健及社會工作服務業",986520,352907,633613,-17355,59119,476152,115697
"109年","R.藝術、娛樂及休閒服務業",228326,82723,145603,-81,14519,109221,21944
"109年","S.其他服務業",641539,220493,421046,5994,10437,328102,76513
"109年","合計",40240718,20955054,19285664,327542,3165107,8953158,6839857
"109年","進口稅",209163,0,209163,209163,0,0,0
"109年","加值型營業稅",349956,0,349956,349956,0,0,0
"109年","總計(生產面)",40799837,20955054,19844783,886661,3165107,8953158,6839857
"109年","補充項目:ICT產業",8823747,4766415,4057332,17826,1247513,1301168,1490825
"110年","A.農、林、漁、牧業",631655,315913,315742,-28458,26169,58303,259728
"110年","B.礦業及土石採取業",23292,11373,11919,722,3477,3779,3941
"110年","C.製造業",23683257,15764715,7918542,249795,1649323,2926992,3092432
"110年","　CA.食品及飼品製造業",898676,723339,175337,1005,15389,94046,64897
"110年","　CB.飲料及菸草製造業",162654,50794,111860,83615,4937,19003,4305
"110年","　CC.紡織業",379370,274171,105199,333,8929,65287,30650
