,"國內各業生產及平減指數-年"
,,,,,""
"統計期","行業","生產總額_當期價格(新臺幣百萬元)","中間消費_當期價格(新臺幣百萬元)","國內生產毛額_當期價格(新臺幣百萬元)","國內生產毛額_連鎖實質值(2021為參考年_新臺幣百萬元)","國內生產毛額_平減指數(2021年=100)",
"109年","CQ.金屬製品製造業","1,087,034","717,926","369,108","349,033","105.75",
"109年","CR.電子零組件製造業","5,909,664","3,081,700","2,827,964","2,979,523","94.91",
"109年","CS.電腦、電子產品及光學製品製造業","2,120,580","1,388,337","732,243","608,727","120.29",
"109年","CT.電力設備及配備製造業","762,849","562,510","200,339","196,837","101.78",
"109年","CU.機械設備製造業","986,743","696,914","289,829","248,344","116.70",
"109年","CV.汽車及其零件製造業","469,113","328,420","140,693","129,621","108.54",
"109年","CW.其他運輸工具及其零件製造業","465,310","349,260","116,050","103,703","111.91",
"109年","CX.家具製造業","96,218","71,989","24,229","19,977","121.28",
"109年","CY.其他製造業","526,294","362,915","163,379","151,920","107.54",
"109年","D.電力及燃氣供應業","717,059","427,858","289,201","204,091","141.70",
"109年","E.用水供應及污染整治業","242,631","132,794","109,837","114,075","96.28",
"109年","F.營建工程業","1,856,956","1,298,508","558,448","598,524","93.30",
"109年","G.批發及零售業","3,872,183","1,073,334","2,798,849","2,963,001","94.46",
"109年","H.運輸及倉儲業","1,248,825","713,145","535,680","862,237","62.13",
"109年","I.住宿及餐飲業","999,438","530,130","469,308","460,664","101.88",
"109年","J.出版影音及資通訊業","1,071,594","458,050","613,544","606,726","101.12",
"109年","K.金融及保險業","1,895,009","595,241","1,299,768","1,294,735","100.39",
"109年","L.不動產及住宅服務業","2,145,227","503,463","1,641,764","1,635,879","100.36",
"109年","M.專業、科學及技術服務業","778,808","319,887","458,921","469,956","97.65",
"109年","N.支援服務業","462,867","140,964","321,903","323,834","99.40",
"109年","O.公共行政及國防；強制性社會安全","1,571,923","432,288","1,139,635","1,173,531","97.11",
"109年","P.教育業","909,730","161,822","747,908","757,892","98.68",
"109年","Q.醫療保健及社會工作服務業","986,520","352,907","633,613","654,787","96.77",
"109年","R.藝術、娛樂及休閒服務業","228,326","82,723","145,603","147,322","98.83",
"109年","S.其他服務業","641,539","220,493","421,046","425,190","99.03",
